Term,Academic Program,Descr,Student ID,Name,Course Code,Grade,Term GPA,Cumulative GPA,Repeat,Unit Taken
2222,AIE,Artificial Intelligence Engine,300041,James Hall,ACC113,C-,2.0,2.312,,2
2222,AIE,Artificial Intelligence Engine,300041,James Hall,AIE212,D+,2.0,2.312,,3
2222,AIE,Artificial Intelligence Engine,300041,James Hall,AIE121,C-,2.0,2.312,REPF,3
2222,AIE,Artificial Intelligence Engine,300041,James Hall,CSE234,C-,2.0,2.312,,3
2222,AIE,Artificial Intelligence Engine,300041,James Hall,CSE261,C+,2.0,2.312,,3
2222,AIE,Artificial Intelligence Engine,300041,James Hall,CSE344,B,2.0,2.312,,3
2222,AIE,Artificial Intelligence Engine,300041,James Hall,MGT102,C+,2.0,2.312,,2
2231,AIE,Artificial Intelligence Engine,300041,James Hall,AIE231,C,2.771,2.365,,3
2231,AIE,Artificial Intelligence Engine,300041,James Hall,CSE464,B-,2.771,2.365,,3
2231,AIE,Artificial Intelligence Engine,300041,James Hall,ELE432,B,2.771,2.365,,3
2231,AIE,Artificial Intelligence Engine,300041,James Hall,MAT315,A-,2.771,2.365,,3
2231,AIE,Artificial Intelligence Engine,300041,James Hall,MGT121,C+,2.771,2.365,,2
2232,AIE,Artificial Intelligence Engine,300041,James Hall,AIE213,A,2.975,2.419,,3
2232,AIE,Artificial Intelligence Engine,300041,James Hall,AIE425,C+,2.975,2.419,,3
2232,AIE,Artificial Intelligence Engine,300041,James Hall,AIE241,B+,2.975,2.419,,3
2232,AIE,Artificial Intelligence Engine,300041,James Hall,CSE383,C+,2.975,2.419,,3
2232,AIE,Artificial Intelligence Engine,300041,James Hall,MIL011,S,2.975,2.419,,0
2241,AIE,Artificial Intelligence Engine,300041,James Hall,AIE351,D+,2.075,2.391,,3
2241,AIE,Artificial Intelligence Engine,300041,James Hall,AIE493,A,2.075,2.391,,3
2241,AIE,Artificial Intelligence Engine,300041,James Hall,CSE363,B,2.075,2.391,,3
2241,AIE,Artificial Intelligence Engine,300041,James Hall,ELE232,F,2.075,2.391,,3
2201,AIE,Artificial Intelligence Engine,300438,John Davis,CSE014,C-,2.015,2.015,,3
2201,AIE,Artificial Intelligence Engine,300438,John Davis,CSE013,C-,2.015,2.015,GRAI,2
2201,AIE,Artificial Intelligence Engine,300438,John Davis,LAN112,B+,2.015,2.015,,2
2201,AIE,Artificial Intelligence Engine,300438,John Davis,MAT111,D,2.015,2.015,EXCM,3
2201,AIE,Artificial Intelligence Engine,300438,John Davis,MAT123,C,2.015,2.015,,3
2201,AIE,Artificial Intelligence Engine,300438,John Davis,MEC011,C-,2.015,2.015,,3
2201,AIE,Artificial Intelligence Engine,300438,John Davis,PHY212,D+,2.015,2.015,EXCM,3
2202,AIE,Artificial Intelligence Engine,300438,John Davis,CSE015,C-,2.062,2.038,EXCM,3
2202,AIE,Artificial Intelligence Engine,300438,John Davis,CSE113,C-,2.062,2.038,,3
2202,AIE,Artificial Intelligence Engine,300438,John Davis,CSE315,B-,2.062,2.038,,3
2202,AIE,Artificial Intelligence Engine,300438,John Davis,LAN011,C,2.062,2.038,,2
2202,AIE,Artificial Intelligence Engine,300438,John Davis,MAT112,W,2.062,2.038,,3
2202,AIE,Artificial Intelligence Engine,300438,John Davis,MAT131,D,2.062,2.038,,3
2202,AIE,Artificial Intelligence Engine,300438,John Davis,MGT222,B+,2.062,2.038,,2
2203,AIE,Artificial Intelligence Engine,300438,John Davis,CSE015,C+,2.5,2.125,GRAI,3
2203,AIE,Artificial Intelligence Engine,300438,John Davis,MAT112,B-,2.5,2.125,,3
2211,AIE,Artificial Intelligence Engine,300438,John Davis,AIE111,C,2.318,2.174,,3
2211,AIE,Artificial Intelligence Engine,300438,John Davis,CSE111,F,2.318,2.174,EXCM,3
2211,AIE,Artificial Intelligence Engine,300438,John Davis,CSE131,B,2.318,2.174,,3
2211,AIE,Artificial Intelligence Engine,300438,John Davis,GEO217,B-,2.318,2.174,,2
2211,AIE,Artificial Intelligence Engine,300438,John Davis,MAT212,C-,2.318,2.174,,3
2211,AIE,Artificial Intelligence Engine,300438,John Davis,MAT231,F,2.318,2.174,EXCM,3
2212,AIE,Artificial Intelligence Engine,300438,John Davis,AIE121,D,1.15,2.049,,3
2212,AIE,Artificial Intelligence Engine,300438,John Davis,AIE291,F,1.15,2.049,EXCM,2
2212,AIE,Artificial Intelligence Engine,300438,John Davis,CSE251,D+,1.15,2.049,,3
2212,AIE,Artificial Intelligence Engine,300438,John Davis,CSE111,F,1.15,2.049,EXCM,3
2212,AIE,Artificial Intelligence Engine,300438,John Davis,LAN022,S,1.15,2.049,,0
2212,AIE,Artificial Intelligence Engine,300438,John Davis,LIB116,F,1.15,2.049,EXCM,2
2212,AIE,Artificial Intelligence Engine,300438,John Davis,MAT312,F,1.15,2.049,EXCM,3
2212,AIE,Artificial Intelligence Engine,300438,John Davis,PSC101,S,1.15,2.049,,0
2221,AIE,Artificial Intelligence Engine,300438,John Davis,AIE231,D+,1.867,2.021,GRAI,3
2221,AIE,Artificial Intelligence Engine,300438,John Davis,CSE111,B,1.867,2.021,REPF,3
2221,AIE,Artificial Intelligence Engine,300438,John Davis,CSE281,D+,1.867,2.021,,3
2221,AIE,Artificial Intelligence Engine,300438,John Davis,CSE132,F,1.867,2.021,EXCM,3
2222,AIE,Artificial Intelligence Engine,300438,John Davis,AIE241,D,1.333,1.928,,3
2222,AIE,Artificial Intelligence Engine,300438,John Davis,CSE132,D,1.333,1.928,REPF,3
2222,AIE,Artificial Intelligence Engine,300438,John Davis,CSE221,C,1.333,1.928,,3
2222,AIE,Artificial Intelligence Engine,300438,John Davis,MAT312,D,1.333,1.928,EXCM,3
2223,AIE,Artificial Intelligence Engine,300438,John Davis,MAT312,B-,2.5,1.975,GRAI,3
2223,AIE,Artificial Intelligence Engine,300438,John Davis,MAT111,C+,2.5,1.975,GRAI,3
2231,AIE,Artificial Intelligence Engine,300438,John Davis,AIE231,F,3.03,2.102,EXCM,3
2231,AIE,Artificial Intelligence Engine,300438,John Davis,DVA014,C,3.03,2.102,,2
2231,AIE,Artificial Intelligence Engine,300438,John Davis,LIB116,A-,3.03,2.102,REPF,2
2231,AIE,Artificial Intelligence Engine,300438,John Davis,MAT231,B+,3.03,2.102,REPF,3
2231,AIE,Artificial Intelligence Engine,300438,John Davis,PHY212,B,3.03,2.102,GRAI,3
2232,AIE,Artificial Intelligence Engine,300438,John Davis,AIE212,D,1.235,1.955,,3
2232,AIE,Artificial Intelligence Engine,300438,John Davis,AIE213,F,1.235,1.955,,3
2232,AIE,Artificial Intelligence Engine,300438,John Davis,AIE291,F,1.235,1.955,REPF,2
2232,AIE,Artificial Intelligence Engine,300438,John Davis,CSE383,F,1.235,1.955,,3
2232,AIE,Artificial Intelligence Engine,300438,John Davis,CSE112,B,1.235,1.955,,4
2232,AIE,Artificial Intelligence Engine,300438,John Davis,PSC207,B,1.235,1.955,,2
2233,AIE,Artificial Intelligence Engine,300438,John Davis,ADL123,W,0.0,1.917,,2
2233,AIE,Artificial Intelligence Engine,300438,John Davis,CSE013,F,0.0,1.917,EXCM,2
2233,AIE,Artificial Intelligence Engine,300438,John Davis,MGT102,F,0.0,1.917,,2
2241,AIE,Artificial Intelligence Engine,300438,John Davis,AIE351,W,1.0,1.89,,3
2241,AIE,Artificial Intelligence Engine,300438,John Davis,CSE261,D,1.0,1.89,,3
2241,AIE,Artificial Intelligence Engine,300438,John Davis,CSE383,FW,1.0,1.89,,3
2241,AIE,Artificial Intelligence Engine,300438,John Davis,ELE432,W,1.0,1.89,,3
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE014,F,1.375,1.375,EXCM,3
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE013,D+,1.375,1.375,EXCM,2
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,LAN112,D,1.375,1.375,,2
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT111,F,1.375,1.375,EXCM,3
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT123,F,1.375,1.375,,3
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MEC011,B,1.375,1.375,,3
2201,AIE,Artificial Intelligence Engine,300120,Robert Johnson,PHY212,F,1.375,1.375,EXCM,3
2202,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE014,D,1.2,1.293,REPF,3
2202,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE315,D+,1.2,1.293,MXCL,3
2202,AIE,Artificial Intelligence Engine,300120,Robert Johnson,LAN011,D,1.2,1.293,,2
2202,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT111,F,1.2,1.293,EXCM,3
2202,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT131,W,1.2,1.293,,3
2202,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MGT222,C-,1.2,1.293,,2
2203,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE015,W,3.0,1.578,,3
2203,AIE,Artificial Intelligence Engine,300120,Robert Johnson,PHY212,B,3.0,1.578,REPF,3
2211,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE131,F,1.0,1.433,EXCM,3
2211,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE015,D,1.0,1.433,,3
2211,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT111,F,1.0,1.433,EXCM,3
2211,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT131,D,1.0,1.433,,3
2212,AIE,Artificial Intelligence Engine,300120,Robert Johnson,AIE111,B-,2.5,1.647,MXCL,3
2212,AIE,Artificial Intelligence Engine,300120,Robert Johnson,AIE291,F,2.5,1.647,MXCL,2
2212,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE251,B,2.5,1.647,MXCL,3
2212,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE111,B-,2.5,1.647,,3
2212,AIE,Artificial Intelligence Engine,300120,Robert Johnson,LAN022,S,2.5,1.647,,0
2212,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT111,C+,2.5,1.647,REPF,3
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE131,F,1.178,1.538,EXCM,3
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE233,F,1.178,1.538,,3
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE281,F,1.178,1.538,MXCL,3
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,GEO217,D,1.178,1.538,,2
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,LAN114,C,1.178,1.538,,2
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,LIB116,C+,1.178,1.538,,2
2221,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MAT212,W,1.178,1.538,,3
2222,AIE,Artificial Intelligence Engine,300120,Robert Johnson,ACC113,D,1.85,1.567,,2
2222,AIE,Artificial Intelligence Engine,300120,Robert Johnson,AIE212,F,1.85,1.567,MXCL,3
2222,AIE,Artificial Intelligence Engine,300120,Robert Johnson,AIE121,F,1.85,1.567,EXCM,3
2222,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE221,C,1.85,1.567,MXCL,3
2222,AIE,Artificial Intelligence Engine,300120,Robert Johnson,MGT102,B-,1.85,1.567,,2
2222,AIE,Artificial Intelligence Engine,300120,Robert Johnson,PSC101,S,1.85,1.567,,0
2223,AIE,Artificial Intelligence Engine,300120,Robert Johnson,AIE121,C-,1.6,1.571,MXCL,3
2223,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE013,A,1.6,1.571,GRAI,2
2223,AIE,Artificial Intelligence Engine,300120,Robert Johnson,CSE131,F,1.6,1.571,REPF,3
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE014,A-,2.937,2.937,,3
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE013,C-,2.937,2.937,,2
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,LAN112,D+,2.937,2.937,,2
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT111,C+,2.937,2.937,,3
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT123,B+,2.937,2.937,,3
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,MEC011,A+,2.937,2.937,,3
2201,AIE,Artificial Intelligence Engine,300444,Michael Collins,PHY212,B+,2.937,2.937,,3
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE015,A,3.316,3.126,,3
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE113,A,3.316,3.126,,3
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE315,A,3.316,3.126,,3
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,LAN011,B-,3.316,3.126,,2
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT112,D,3.316,3.126,,3
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT131,A,3.316,3.126,,3
2202,AIE,Artificial Intelligence Engine,300444,Michael Collins,MGT222,B+,3.316,3.126,,2
2211,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE111,B,3.141,3.131,,3
2211,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE111,B,3.141,3.131,,3
2211,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE131,B+,3.141,3.131,,3
2211,AIE,Artificial Intelligence Engine,300444,Michael Collins,GEO217,B+,3.141,3.131,,2
2211,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT212,B+,3.141,3.131,,3
2211,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT231,B,3.141,3.131,,3
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE121,B,3.065,3.113,,3
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE291,B-,3.065,3.113,,2
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE112,B+,3.065,3.113,,4
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE221,A-,3.065,3.113,,3
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE251,B-,3.065,3.113,,3
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,LAN022,S,3.065,3.113,,0
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,LIB116,C+,3.065,3.113,,2
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT312,B+,3.065,3.113,,3
2212,AIE,Artificial Intelligence Engine,300444,Michael Collins,PSC101,S,3.065,3.113,,0
2221,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE323,A,3.617,3.211,,3
2221,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE231,A-,3.617,3.211,,3
2221,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE233,B+,3.617,3.211,,3
2221,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE281,A,3.617,3.211,,3
2221,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE132,B,3.617,3.211,,3
2221,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE211,A-,3.617,3.211,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE241,A-,3.48,3.258,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE212,B+,3.48,3.258,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE213,A-,3.48,3.258,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE234,B+,3.48,3.258,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE261,B+,3.48,3.258,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE344,A-,3.48,3.258,,3
2222,AIE,Artificial Intelligence Engine,300444,Michael Collins,MGT102,B+,3.48,3.258,,2
2231,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE363,A-,3.471,3.282,,3
2231,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE464,B+,3.471,3.282,,3
2231,AIE,Artificial Intelligence Engine,300444,Michael Collins,ELE432,B,3.471,3.282,,3
2231,AIE,Artificial Intelligence Engine,300444,Michael Collins,MAT315,A,3.471,3.282,,3
2231,AIE,Artificial Intelligence Engine,300444,Michael Collins,PSY103,B+,3.471,3.282,,2
2232,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE425,A-,3.58,3.304,,3
2232,AIE,Artificial Intelligence Engine,300444,Michael Collins,CSE383,B+,3.58,3.304,,3
2232,AIE,Artificial Intelligence Engine,300444,Michael Collins,ELE233,W,3.58,3.304,,3
2232,AIE,Artificial Intelligence Engine,300444,Michael Collins,LAN114,A-,3.58,3.304,,2
2232,AIE,Artificial Intelligence Engine,300444,Michael Collins,MIL011,S,3.58,3.304,,0
2232,AIE,Artificial Intelligence Engine,300444,Michael Collins,PHS021,A-,3.58,3.304,,2
2241,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE351,B,3.536,3.321,,3
2241,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE493,A+,3.536,3.321,,3
2241,AIE,Artificial Intelligence Engine,300444,Michael Collins,AIE392,A,3.536,3.321,,2
2241,AIE,Artificial Intelligence Engine,300444,Michael Collins,ELE232,B+,3.536,3.321,,3
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE014,C-,2.431,2.431,,3
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE013,B,2.431,2.431,,2
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,LAN112,A,2.431,2.431,,2
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT111,F,2.431,2.431,EXCM,3
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT123,D+,2.431,2.431,,3
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,MEC011,B+,2.431,2.431,,3
2201,AIE,Artificial Intelligence Engine,300052,William Thompson,PHY212,C,2.431,2.431,,3
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE015,C+,2.842,2.654,,3
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE113,C+,2.842,2.654,,3
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE315,B+,2.842,2.654,,3
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,LAN011,C-,2.842,2.654,,2
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT111,B,2.842,2.654,REPF,3
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT131,B+,2.842,2.654,,3
2202,AIE,Artificial Intelligence Engine,300052,William Thompson,MGT222,A,2.842,2.654,,2
2203,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT112,C+,2.3,2.626,,3
2211,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE111,B+,2.965,2.731,,3
2211,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE111,C+,2.965,2.731,,3
2211,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE131,C+,2.965,2.731,,3
2211,AIE,Artificial Intelligence Engine,300052,William Thompson,GEO217,B+,2.965,2.731,,2
2211,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT212,B,2.965,2.731,,3
2211,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT231,A-,2.965,2.731,,3
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE121,D+,2.806,2.749,EXCM,3
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE291,B-,2.806,2.749,,2
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE112,B,2.806,2.749,,4
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE221,A,2.806,2.749,,3
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE251,B+,2.806,2.749,,3
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,LAN022,S,2.806,2.749,,0
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,LIB116,B-,2.806,2.749,,2
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT312,D,2.806,2.749,,3
2212,AIE,Artificial Intelligence Engine,300052,William Thompson,PSC101,S,2.806,2.749,,0
2221,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE323,B+,2.629,2.726,,3
2221,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE233,C,2.629,2.726,,3
2221,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE281,B-,2.629,2.726,,3
2221,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE132,C-,2.629,2.726,,3
2221,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE211,B,2.629,2.726,,3
2221,AIE,Artificial Intelligence Engine,300052,William Thompson,LAN114,B+,2.629,2.726,,2
2222,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE241,B-,2.782,2.735,,3
2222,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE212,B-,2.782,2.735,,3
2222,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE234,C+,2.782,2.735,,3
2222,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE261,C+,2.782,2.735,,3
2222,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE344,B+,2.782,2.735,,3
2222,AIE,Artificial Intelligence Engine,300052,William Thompson,MGT102,A-,2.782,2.735,,2
2231,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE231,B,3.464,2.82,,3
2231,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE464,A,3.464,2.82,,3
2231,AIE,Artificial Intelligence Engine,300052,William Thompson,ELE432,B,3.464,2.82,,3
2231,AIE,Artificial Intelligence Engine,300052,William Thompson,MAT315,A-,3.464,2.82,,3
2231,AIE,Artificial Intelligence Engine,300052,William Thompson,PSY103,A-,3.464,2.82,,2
2232,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE213,B-,3.164,2.856,,3
2232,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE425,B+,3.164,2.856,,3
2232,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE121,B,3.164,2.856,GRAI,3
2232,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE383,B+,3.164,2.856,,3
2232,AIE,Artificial Intelligence Engine,300052,William Thompson,SOC107,A-,3.164,2.856,,2
2241,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE351,C+,3.057,2.875,,3
2241,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE493,A+,3.057,2.875,,3
2241,AIE,Artificial Intelligence Engine,300052,William Thompson,AIE392,A,3.057,2.875,,2
2241,AIE,Artificial Intelligence Engine,300052,William Thompson,CSE363,B+,3.057,2.875,,3
2241,AIE,Artificial Intelligence Engine,300052,William Thompson,ELE232,C,3.057,2.875,,3
2201,AIE,Artificial Intelligence Engine,300195,David Martin,CSE014,A-,3.91,3.91,,3
2201,AIE,Artificial Intelligence Engine,300195,David Martin,CSE013,A,3.91,3.91,,2
2201,AIE,Artificial Intelligence Engine,300195,David Martin,LAN112,A+,3.91,3.91,,2
2201,AIE,Artificial Intelligence Engine,300195,David Martin,MAT111,F,3.91,3.91,EXCM,3
2201,AIE,Artificial Intelligence Engine,300195,David Martin,MAT123,F,3.91,3.91,EXCM,3
2201,AIE,Artificial Intelligence Engine,300195,David Martin,MEC011,A,3.91,3.91,,3
2201,AIE,Artificial Intelligence Engine,300195,David Martin,PHY212,F,3.91,3.91,EXCM,3
2202,AIE,Artificial Intelligence Engine,300195,David Martin,CSE015,B+,3.55,3.7,,3
2202,AIE,Artificial Intelligence Engine,300195,David Martin,CSE315,B+,3.55,3.7,,3
2202,AIE,Artificial Intelligence Engine,300195,David Martin,LAN011,F,3.55,3.7,MXCL,2
2202,AIE,Artificial Intelligence Engine,300195,David Martin,MAT111,B+,3.55,3.7,REPF,3
2202,AIE,Artificial Intelligence Engine,300195,David Martin,MAT131,A,3.55,3.7,,3
2202,AIE,Artificial Intelligence Engine,300195,David Martin,MGT222,A,3.55,3.7,,2
2203,AIE,Artificial Intelligence Engine,300195,David Martin,MAT112,A+,4.0,3.733,,3
2211,AIE,Artificial Intelligence Engine,300195,David Martin,AIE111,C,2.918,3.497,,3
2211,AIE,Artificial Intelligence Engine,300195,David Martin,CSE111,A,2.918,3.497,,3
